id,question,answer
3435,What process attributes new wealth to those that already have it?,Wealth concentration
3436,"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest
3437,What has the highest impact on wealth accumulation and the resulting income inequality?,greater return of capital
3438,What tends to lead to more money?,larger fortunes
3439,Where does newly created wealth concentrate? ,the possession of already-wealthy individuals
3440,Who is best able to leverage the accumulation of wealth?,those who already hold wealth
3441,What can significantly contribute to the continuing inequality in a society over time?,wealth condensation
3442,"Who wrote the book ""Capital in the Twenty-First Century""?",Thomas Piketty
3443,What do larger fortunes generate?,higher returns
3444,What career does Joseph Stiglitz have?,Economist
3445,What forces should serve as a brake on wealth concentration?,market
3446,What type of skills does the market bid up compensation for?,rare and desired
3447,What is used by certain wealthy groups to obtain policies financially beneficial for them?,political power generated by wealth
3448,Income not from the creation of wealth but by grabbing a larger share of it is know to economists by what term?,rent-seeking
3449,Higher rates of health and social problems are just two of examples of effects from what?,inequality
3450,Why does a lower level of economic growth occur due to high-end consumption?,human capital is neglected
3451,What is lower in countries with more inequality for the top 21 industrialized countries?,life expectancy
3452,What is a lower rate of social goods an effect of?,inequality
3453,"In U.S. states, what happens to the life expectancy in less economically equal ones?",life expectancy is lower
3454,What year did Robert J. Shiller win an Economics Nobel prize?,2013
3455,What is the most important problem in the United States and elsewhere?,rising inequality
3456,Persistent unemployment has what effect on long-term economic growth?,negative
3457,What's one factor in eroding self-esteem?,Unemployment
3458,Policies which reduce the inequality associated effects of unemployment support what type of growth?,economic
3459,What nationality are researchers Richard G. Wilkinson and Kate Pickett?,British
3460,What rates of health and social problems are in countries with high inequality?,higher
3461,How are the rates of social goods in countries with higher inequality?,lower
3462,Health problems were lower in places with higher levels of what?,equality
3463,How many developed countries did British researchers use to gather statistics from?,23
3464,What did higher material living standards lead to for most of human history?,better health and longer lives
3465,Where does the pattern of higher income-longer lives still hold true?,poorer countries
3466,What increases rapidly as per capita income increases?,life expectancy
3467,Who lives no longer on average than Greeks and New Zealanders?,Americans
3468,How are incomes distributed in Sweden?,more equally
3469,What characteristic in recent years has been strongly tied with health in developed countries?,income inequality
3470,Who created an index of health and social problems?,authors Richard Wilkinson and Kate Pickett
3471,How many factors of health and social problems did Wilkinson and PIckett identify?,nine
3472,Where are health and social problems most common?,among states in the US with larger income inequalities
3473,What does child well-being in rich countries correlate most to?,greater equality
